1220,1975,2
1220,1578,9
1220,58,2
1220,1005,1
1220,795,10
1220,136,9
1220,1123,8
1220,1220,15
1220,547,5
1220,182,1
1220,1419,5
1462,1503,5
1462,364,10
1462,860,1
1462,750,3
1462,751,2
1462,1643,7
1462,1267,4
1462,1287,1
1462,911,8
1462,51,3
1462,1490,8
1461,1338,4
1461,841,1
1461,1057,7
1461,1450,1
1461,658,1
1461,1628,8
1461,1979,8
1461,1726,6
1461,1913,10
1461,173,4
1461,1955,7
1460,79,7
1460,860,3
1460,1940,5
1460,147,1
1460,1520,5
1460,1156,4
1460,1287,1
1460,1120,4
1460,582,2
1460,906,7
1460,1966,2
1216,1734,10
1216,1952,1
1216,476,3
1216,1422,2
1216,621,6
1216,995,8
1216,1188,5
1216,1706,10
1216,825,10
1216,1626,10
1216,196,3
1458,1117,8
1458,1215,3
1458,1830,10
1458,1587,8
1458,1762,8
1458,589,8
1458,832,6
1458,1915,2
1458,1380,6
1458,1868,9
1458,1669,1
1215,1107,2
1215,1952,1
1215,1730,7
1215,1972,1
1215,1136,4
1215,1234,5
1215,1440,8
1215,834,3
1215,1817,7
1215,240,3
1456,1448,1
1456,1349,4
1456,387,8
1456,576,5
1456,1015,7
1456,1377,1
1456,1002,1
1456,1783,6
1456,106,7
1456,1706,2
1456,52,7
1698,1952,9
1698,532,2
1698,951,8
1698,27,1
1698,368,10
1698,1861,6
1698,547,7
1698,1363,3
1698,517,3
1698,1408,1
1698,1825,10
1213,808,7
1213,1531,5
1213,995,8
1213,1243,7
1213,547,1
1213,789,6
1213,81,7
1213,1628,10
1213,1648,4
1213,1416,9
1213,582,1
1454,1600,8
1454,541,5
1454,1874,2
1454,1311,1
1454,148,1
1454,963,4
1454,1662,4
1454,876,3
1454,932,9
1454,1718,1
1454,1848,3
1453,1844,4
1453,1149,6
1453,476,1
1453,1059,5
1453,324,2
1453,1255,1
1453,1386,3
1453,866,10
1453,429,9
1453,1490,6
1453,76,9
1452,1943,4
1452,693,1
1452,1523,3
