1220,89,8
1220,1220,15
1220,470,2
1220,1060,6
1220,472,10
1220,351,1
1220,1855,1
1220,1734,7
1220,1854,8
1220,1974,2
1220,1578,1
1220,1699,8
1220,1214,5
1220,113,1
1220,2028,7
1220,511,8
1220,357,1
1220,1057,3
1220,116,9
1220,633,6
1220,1452,9
1220,1177,7
1220,514,9
1220,910,5
1220,119,7
1220,757,4
1220,93,3
1220,638,7
1220,1736,9
1220,98,5
1220,1856,2
1220,13,6
1220,1908,2
1220,1076,7
1220,1073,8
1220,1070,4
1220,363,4
1220,1502,6
1220,760,7
1220,1622,6
1220,1104,6
1220,641,1
1220,763,6
1220,403,8
1220,646,3
1220,404,8
1220,1905,3
1220,923,6
1220,1749,7
1220,1902,10
1220,1626,6
1220,1505,3
1220,1746,9
1220,1988,9
1220,372,6
1220,650,6
1220,1997,4
1220,1996,7
1220,410,4
1220,1115,7
1220,1598,8
1220,411,7
1220,1872,8
1220,533,2
1220,1871,5
1220,1595,8
1220,417,1
1220,814,8
1220,1914,2
1220,815,6
1220,1758,7
1220,938,3
1220,819,6
1220,1130,4
1220,1093,7
1220,262,3
1220,780,10
1220,1127,2
1220,1523,9
1220,421,1
1220,300,6
1220,1488,3
1220,1520,6
1220,302,2
1220,1882,4
1220,944,4
1220,1928,9
1220,40,3
1220,41,9
1220,1649,6
1220,1405,6
1220,44,9
1220,1263,4
1220,391,3
1220,271,9
1220,1381,3
1220,1932,4
1220,396,8
1220,1931,9
1220,1930,3
1220,1654,7
1220,1775,4
1220,1412,8
1220,1895,4
1220,1257,3
1220,1378,10
1220,1774,10
1220,313,10
1220,1772,2
1220,1012,6
1220,953,1
1220,712,10
1220,558,1
1220,713,3
1220,317,8
1220,714,6
1220,1934,8
1220,57,4
1220,1154,5
1220,1791,6
1220,1151,8
1220,160,10
1220,440,7
1220,1822,1
1220,1547,10
1220,1667,2
1220,1425,1
1220,1820,9
1220,564,7
1220,1301,7
1220,1664,3
1220,1147,6
1220,1663,7
1220,1144,4
1220,964,6
1220,448,10
1220,603,8
1220,207,2
1220,725,2
1220,604,8
1220,968,9
1220,61,8
1220,1704,3
1220,729,9
1220,1823,10
1220,1702,8
1220,67,1
1220,1560,7
1220,2010,6
1220,1042,9
1220,173,4
1220,572,9
1220,2006,8
1220,1675,9
1220,698,3
1220,1795,10
1220,975,6
1220,1551,3
1220,1672,3
1220,976,4
1220,736,8
1220,737,4
1220,1297,4
1220,1054,7
1220,1450,9
1220,1691,6
1220,581,6
1220,1291,1
1220,340,6
1220,1326,8
1220,1963,9
1220,2018,7
1220,1567,3
1220,1566,8
1220,1203,3
1220,1169,6
1220,1685,9
1220,107,8
1220,901,4
1220,989,2
1220,1849,3
1220,1606,8
1220,1969,2
1220,1209,10
1462,908,7
1462,1582,4
1462,591,2
1462,230,8
1462,353,8
1462,596,1
1462,1611,9
1462,2029,3
1462,355,4
1462,234,8
1462,356,6
1462,1333,4
1462,2026,10
1462,511,10
1462,2025,4
1462,1970,3
1462,633,8
1462,878,4
1462,516,2
1462,93,7
